Label,Alkali sorbent,Transport,Transport Distance,Building savings,Avoided product,"Acidification, mol H+ eq","Climate change (total), kg CO2 eq","Climate change (biogenic), kg CO2 eq","Climate change (fossil), kg CO2 eq","Climate change (land use), kg CO2 eq","Ecotoxicity: freshwater, CTUe","ecotoxicity: freshwater, inorganics, CTUe","ecotoxicity: freshwater, organics, CTUe","energy resources: non-renewable, Mjeq","eutrophication: freshwater, kg P eq","eutrophication: marine , kg N eq"," eutrophication: terrestrial, mol N-eq","human toxicity: carcinogenic , CTUh","human toxicity: carcinogenic , inorganics, CTUh","human toxicity: carcinogenic , organics, CTUh","human toxicity: non-carcinogenic , CTUh","human toxicity: non-carcinogenic , inorganics, CTUh","human toxicity: non-carcinogenic , organics, CTUh","ionising radiation: human health , kg Bq U235eq","land use, (dimensionless)","material resources: metals/minerals, kg Sb-eq","ozone depletion, kg CFC11-eq","particulate matter formation, disease incidence","photochemical oxidant formation: human health, kg NMVOC-eq","water use , m3 world eq depriv","Cost, USD2023"
"Lime, regenerated using electrical calcination, optimised transport, building savings considered","Lime, regenerated using electrical calcination",1,200,1,None,-89.22955607,-48305.19725,-5.203877162,-48296.53151,-3.461868256,-24312.44977,-20802.63702,-3509.812751,-553826.8465,-0.473730195,-15.61321064,-174.2248239,-6.26008E-06,-1.55867E-06,-4.70141E-06,-4.97382E-05,-4.42249E-05,-5.51328E-06,-937.8226487,-33710.52684,-0.000676549,0.02889716,-0.000113373,-80.73689475,-2387.232491,-15379.26337
"Lime, regenerated using electrical calcination, optimised transport, short distance","Lime, regenerated using electrical calcination",1,50,0,None,8.87632638,-7858.007143,1.357252481,-7861.318437,1.954041283,12838.94681,12207.88742,631.0593917,17093.92355,0.053424609,1.475479329,16.18574621,3.63397E-06,2.34953E-06,1.28444E-06,7.89093E-05,7.58641E-05,3.04517E-06,15.66112836,11736.64914,1.99001E-05,0.066316106,0.000109971,6.068289683,328.492165,3114.594602
"Lime, regenerated using electrical calcination, optimised transport, short distance, building savings considered","Lime, regenerated using electrical calcination",1,50,1,None,-92.31698507,-49433.0215,-5.524354381,-49423.45686,-4.040291974,-33282.39977,-29438.12601,-3844.273765,-570968.6152,-0.484623065,-16.41262714,-182.6291966,-6.78558E-06,-1.83043E-06,-4.95515E-06,-6.21348E-05,-5.60256E-05,-6.10918E-06,-944.2215143,-50933.66483,-0.000695686,0.025660263,-0.000224321,-85.18423834,-2473.160707,-16607.95814
NaOH - commercial,NaOH - commercial,0,200,0,None,190.7797361,28422.81462,33.69826182,28382.94615,6.170207482,232677.7701,222038.5644,10639.20569,509751.0241,1.09969166,42.62354341,459.0949393,3.69412E-05,1.48271E-05,2.21142E-05,0.00046693,0.000445404,2.15267E-05,1217.818243,182922.7311,0.014284622,0.588077159,0.001966513,161.9746999,19646.95484,4077.917254
"NaOH - commercial, avoided product Sodium carbonate",NaOH - commercial,0,200,0,Sodium carbonate,190.7797361,28422.81462,33.69826182,28382.94615,6.170207482,232677.7701,222038.5644,10639.20569,509751.0241,1.09969166,42.62354341,459.0949393,3.69412E-05,1.48271E-05,2.21142E-05,0.00046693,0.000445404,2.15267E-05,1217.818243,182922.7311,0.014284622,0.588077159,0.001966513,161.9746999,19646.95484,4077.917254
"NaOH - commercial, building savings considered",NaOH - commercial,0,200,1,None,89.5864247,-13152.19974,26.81665495,-13179.19227,0.175874224,186556.4235,180392.551,6163.872537,-78311.51469,0.561643986,24.73543694,260.2799965,2.65217E-05,1.06471E-05,1.58746E-05,0.000325886,0.000313514,1.23723E-05,257.9356003,120252.4172,0.013569036,0.547421316,0.001632221,70.72217191,16845.30196,-15644.63548
"NaOH - commercial, building savings considered, avoided product Sodium carbonate",NaOH - commercial,0,200,1,Sodium carbonate,89.5864247,-13152.19974,26.81665495,-13179.19227,0.175874224,186556.4235,180392.551,6163.872537,-78311.51469,0.561643986,24.73543694,260.2799965,2.65217E-05,1.06471E-05,1.58746E-05,0.000325886,0.000313514,1.23723E-05,257.9356003,120252.4172,0.013569036,0.547421316,0.001632221,70.72217191,16845.30196,-15644.63548
"NaOH - commercial, short distance",NaOH - commercial,0,50,0,None,142.792569,18310.30517,27.94712056,18282.91175,-0.553701092,159736.5092,151885.3338,7851.17548,368478.7623,0.96472957,27.2392886,291.6087939,2.2359E-05,1.13973E-05,1.09616E-05,0.000353757,0.00033842,1.5337E-05,1121.542756,119709.9766,0.014123946,0.511132098,0.000964826,97.93840673,18738.29718,1422.420239
"NaOH - commercial, short distance, avoided product Sodium carbonate",NaOH - commercial,0,50,0,Sodium carbonate,142.792569,18310.30517,27.94712056,18282.91175,-0.553701092,159736.5092,151885.3338,7851.17548,368478.7623,0.96472957,27.2392886,291.6087939,2.2359E-05,1.13973E-05,1.09616E-05,0.000353757,0.00033842,1.5337E-05,1121.542756,119709.9766,0.014123946,0.511132098,0.000964826,97.93840673,18738.29718,1422.420239
"NaOH - commercial, short distance, building savings considered",NaOH - commercial,0,50,1,None,41.59925754,-23264.70919,21.0655137,-23279.22667,-6.54803435,113615.1627,110239.3203,3375.842323,-219583.7764,0.426681896,9.351182137,92.79385118,1.19394E-05,7.21737E-06,4.72203E-06,0.000212713,0.00020653,6.1827E-06,161.6601135,57039.66263,0.01340836,0.470476255,0.000630534,6.68587871,15936.64431,-18300.1325
